supplier_id,component_id,sole_source,share_pct,qualified_since
SUP-MERIDIAN,CMP-PCBA7,true,100,2014
SUP-MERIDIAN,CMP-PCBB2,true,100,2017
SUP-KAIGAN,CMP-DSP3300,true,100,2016
SUP-VOLTA,CMP-LI18650,false,70,2018
SUP-NORDCELL,CMP-LI18650,false,30,2022
SUP-PRAHARA,CMP-ENC500,true,100,2011
SUP-PRAHARA,CMP-ENC220,true,100,2012
SUP-PRAHARA,CMP-ENCTX9,true,100,2019
SUP-PRAHARA,CMP-ENCAQ,true,100,2020
SUP-HELIOS,CMP-PMP77,true,100,2015
SUP-SENTINEL,CMP-SENIR12,true,100,2013
SUP-SENTINEL,CMP-SENPM25,false,60,2019
SUP-AERONOVA,CMP-SENPM25,false,40,2021
